"Date","Price","Open","High","Low","Vol.","Change %"
"02/15/2023","2.8444","2.9179","2.9300","2.8020","33.75K","-3.25%"
"02/14/2023","2.9401","2.8862","2.9496","2.8524","40.02K","1.18%"
"02/13/2023","2.9057","2.8700","2.9223","2.8188","38.25K","1.43%"
"02/10/2023","2.8646","2.8175","2.9129","2.8027","41.34K","1.75%"
"02/09/2023","2.8154","2.9009","2.9300","2.7905","42.55K","-2.69%"
"02/08/2023","2.8933","2.9080","2.9774","2.8629","50.42K","-0.38%"
"02/07/2023","2.9044","2.7690","2.9106","2.7607","57.89K","4.90%"
"02/06/2023","2.7687","2.7844","2.8142","2.6653","56.84K","-0.24%"
"02/03/2023","2.7753","2.9061","2.9311","2.7670","56.91K","-4.19%"
"02/02/2023","2.8967","2.9647","2.9775","2.8911","53.72K","-1.84%"
"02/01/2023","2.9511","3.1421","3.1502","2.9265","63.18K","-7.27%"
"01/31/2023","3.1823","3.1135","3.2080","3.0570","1.99K","2.30%"
"01/30/2023","3.1108","3.2816","3.2920","3.1000","19.72K","-4.74%"
"01/27/2023","3.2655","3.3974","3.4361","3.2500","26.39K","-3.86%"
"01/26/2023","3.3965","3.3597","3.4269","3.3146","23.57K","1.05%"
"01/25/2023","3.3613","3.4598","3.5156","3.3250","30.17K","-1.92%"
"01/24/2023","3.4272","3.5406","3.5800","3.4134","32.10K","-3.48%"
"01/23/2023","3.5509","3.4731","3.5727","3.4615","32.34K","2.43%"
"01/20/2023","3.4668","3.3856","3.4828","3.3561","44.46K","2.69%"
"01/19/2023","3.3759","3.2539","3.3878","3.2115","45.01K","3.46%"
"01/18/2023","3.2630","3.2765","3.3375","3.2300","36.24K","0.37%"
"01/17/2023","3.2510","3.2676","3.3025","3.2165","53.00K","-0.19%"
"01/16/2023","3.2573","3.2628","3.2788","3.2434","","-0.17%"
"01/15/2023","3.2630","3.2763","3.2769","3.2630","","0.22%"
"01/13/2023","3.2559","3.2241","3.2882","3.2037","44.31K","1.15%"
"01/12/2023","3.2190","3.1926","3.2673","3.1672","51.91K","0.03%"
"01/11/2023","3.2179","3.1188","3.2488","3.0944","70.87K","2.62%"
"01/10/2023","3.1357","3.0389","3.1559","3.0099","60.64K","3.28%"
"01/09/2023","3.0360","3.0054","3.1069","2.9949","49.94K","1.05%"
"01/06/2023","3.0045","2.9789","3.0536","2.9520","41.60K","1.08%"
"01/05/2023","2.9723","3.0016","3.0669","2.9200","55.07K","0.01%"
"01/04/2023","2.9719","3.0682","3.0912","2.9215","51.61K","-3.71%"
"01/03/2023","3.0865","3.2965","3.3322","3.0755","58.57K","-6.79%"
"01/02/2023","3.3112","3.3009","3.3184","3.2971","","-1.52%"
"12/30/2022","3.3622","3.3269","3.3750","3.2619","2.42K","1.49%"
"12/29/2022","3.3130","3.3568","3.3568","3.2433","15.08K","-1.92%"
"12/28/2022","3.3778","3.3890","3.3937","3.2270","17.55K","0.72%"
"12/27/2022","3.3537","3.2854","3.4051","3.2561","25.34K","1.33%"
"12/26/2022","3.3096","3.2590","3.3096","3.2548","","2.95%"
"12/23/2022","3.2148","3.1140","3.2529","3.0805","44.26K","3.86%"
"12/22/2022","3.0954","3.1511","3.1830","3.0816","38.59K","-0.43%"
