Date,Price,Open,High,Low,Vol.,Change %
3/19/2023,2.5081,2.4902,2.5115,2.4881,,1.72%
3/17/2023,2.4658,2.4781,2.5262,2.4186,10.87K,-0.36%
3/16/2023,2.4746,2.4515,2.4827,2.364,11.51K,2.30%
3/15/2023,2.4189,2.5488,2.5794,2.3696,13.64K,-5.25%
3/14/2023,2.553,2.6043,2.6061,2.5398,5.61K,-1.48%
3/13/2023,2.5914,2.6532,2.6585,2.5275,5.54K,-2.37%
3/12/2023,2.6543,2.6486,2.6709,2.6342,,0.32%
3/10/2023,2.6458,2.5957,2.6569,2.5732,3.24K,1.56%
3/9/2023,2.6051,2.6845,2.7044,2.6006,3.04K,-3.12%
3/8/2023,2.6889,2.6851,2.6975,2.6555,3.38K,-0.44%
3/7/2023,2.7007,2.7985,2.8015,2.6771,4.64K,-3.43%
3/6/2023,2.7965,2.726,2.7985,2.714,4.64K,1.81%
3/5/2023,2.7468,2.7489,2.7489,2.7412,,-0.13%
3/3/2023,2.7504,2.6926,2.757,2.6251,6.81K,1.86%
3/2/2023,2.7003,2.6685,2.7056,2.662,3.33K,0.95%
3/1/2023,2.6748,2.6438,2.6759,2.628,3.75K,1.24%
2/28/2023,2.642,2.5895,2.6559,2.5863,1.52K,11.56%
2/27/2023,2.3683,2.5869,2.6036,2.5577,0.25K,-8.45%
2/26/2023,2.5869,2.5979,2.5979,2.5857,,0.21%
2/24/2023,2.5814,2.6112,2.6112,2.5223,3.84K,-0.13%
2/23/2023,2.5848,2.5424,2.606,2.5389,6.26K,1.36%
2/22/2023,2.5502,2.6217,2.6256,2.5363,7.86K,5.57%
2/21/2023,2.4156,2.4432,2.4432,2.4071,1.35K,-1.04%
2/20/2023,2.441,2.4492,2.4492,2.4426,0.19K,1.31%
2/19/2023,2.4094,2.4092,2.4116,2.407,,0.05%
2/17/2023,2.4082,2.4,2.413,2.3368,1.01K,-1.12%
2/16/2023,2.4355,2.4925,2.5142,2.4132,0.80K,-2.49%
2/15/2023,2.4978,2.4675,2.5035,2.4226,1.95K,0.37%
2/14/2023,2.4885,2.5144,2.5224,2.4425,2.86K,-1.68%
2/13/2023,2.5311,2.4881,2.5332,2.4753,3.23K,1.60%
2/12/2023,2.4912,2.4991,2.4992,2.4908,,-0.50%
2/10/2023,2.5037,2.435,2.5116,2.435,3.31K,2.30%
2/9/2023,2.4475,2.4803,2.4803,2.4067,3.27K,-0.62%
2/8/2023,2.4628,2.4528,2.4821,2.4098,3.88K,0.24%
2/7/2023,2.4568,2.41,2.4662,2.3905,4.97K,3.51%
2/6/2023,2.3734,2.3268,2.3818,2.2748,5.85K,2.31%
2/5/2023,2.3198,2.3182,2.3287,2.3166,,-0.05%
2/3/2023,2.321,2.4536,2.4708,2.3172,6.90K,-5.35%
2/2/2023,2.4523,2.4561,2.4907,2.4429,3.33K,-0.06%
2/1/2023,2.4538,2.5696,2.5915,2.4322,4.89K,-4.40%
1/31/2023,2.5668,2.4829,2.5699,2.4691,4.20K,2.72%
1/30/2023,2.4989,2.6046,2.6046,2.5004,0.04K,-4.08%
1/29/2023,2.6053,2.5985,2.608,2.5974,,0.65%
1/27/2023,2.5886,2.62,2.6397,2.5767,1.02K,-0.90%
1/26/2023,2.6121,2.5876,2.6475,2.5876,0.91K,0.72%
1/25/2023,2.5934,2.6925,2.7129,2.5799,0.79K,-2.09%
1/24/2023,2.6487,2.6905,2.6905,2.6362,1.00K,-1.77%
1/23/2023,2.6965,2.6518,2.708,2.6497,0.60K,2.47%
1/22/2023,2.6316,2.6464,2.6465,2.6278,,-0.52%
1/20/2023,2.6454,2.6118,2.6672,2.6006,1.39K,1.87%
1/19/2023,2.5968,2.49,2.6141,2.49,2.03K,2.90%
1/18/2023,2.5235,2.5672,2.5935,2.5114,4.11K,-0.85%
1/17/2023,2.5451,2.4996,2.5686,2.4962,3.62K,1.63%
1/16/2023,2.5042,2.514,2.5336,2.4955,0.55K,-0.97%
1/15/2023,2.5288,2.5411,2.5445,2.5288,,-0.16%
1/13/2023,2.5328,2.459,2.5391,2.4539,3.13K,2.32%
1/12/2023,2.4753,2.4408,2.4932,2.4259,2.62K,1.68%
1/11/2023,2.4345,2.3179,2.4393,2.3008,2.22K,4.59%
1/10/2023,2.3277,2.3,2.3485,2.2811,2.04K,1.52%
1/9/2023,2.2929,2.2674,2.3337,2.2674,2.73K,1.25%
1/8/2023,2.2647,2.2585,2.2772,2.2585,,0.90%
1/6/2023,2.2446,2.2876,2.3106,2.2363,2.39K,-0.99%
1/5/2023,2.2671,2.3038,2.3068,2.2574,2.91K,0.35%
1/4/2023,2.2592,2.3724,2.3724,2.2459,2.13K,-4.32%
1/3/2023,2.3612,2.4874,2.4935,2.3494,3.66K,-5.29%
1/2/2023,2.4931,2.5011,2.5069,2.4858,,0.60%
12/30/2022,2.4783,2.3907,2.4858,2.3643,2.32K,4.54%
12/29/2022,2.3707,2.349,2.3875,2.3123,0.28K,0.33%
12/28/2022,2.3629,2.3704,2.3734,2.2995,0.47K,-0.23%
12/27/2022,2.3683,2.4022,2.4168,2.359,4.08K,-2.26%
12/26/2022,2.423,2.3981,2.4233,2.3971,,1.32%
12/23/2022,2.3915,2.286,2.3939,2.2636,3.30K,5.83%
