Date,Price,Open,High,Low,Vol.,Change %
1/24/2023,3.4272,3.5406,3.58,3.4134,32.10K,-3.48%
1/23/2023,3.5509,3.4731,3.5727,3.4615,32.34K,2.43%
1/20/2023,3.4668,3.3856,3.4828,3.3561,44.46K,2.69%
1/19/2023,3.3759,3.2539,3.3878,3.2115,45.01K,3.46%
1/18/2023,3.263,3.2765,3.3375,3.23,36.24K,0.37%
1/17/2023,3.251,3.2676,3.3025,3.2165,53.00K,-0.19%
1/16/2023,3.2573,3.2628,3.2788,3.2434,,-0.17%
1/15/2023,3.263,3.2763,3.2769,3.263,,0.22%
1/13/2023,3.2559,3.2241,3.2882,3.2037,44.31K,1.15%
1/12/2023,3.219,3.1926,3.2673,3.1672,51.91K,0.03%
1/11/2023,3.2179,3.1188,3.2488,3.0944,70.87K,2.62%
1/10/2023,3.1357,3.0389,3.1559,3.0099,60.64K,3.28%
1/9/2023,3.036,3.0054,3.1069,2.9949,49.94K,1.05%
1/6/2023,3.0045,2.9789,3.0536,2.952,41.60K,1.08%
1/5/2023,2.9723,3.0016,3.0669,2.92,55.07K,0.01%
1/4/2023,2.9719,3.0682,3.0912,2.9215,51.61K,-3.71%
1/3/2023,3.0865,3.2965,3.3322,3.0755,58.57K,-6.79%
1/2/2023,3.3112,3.3009,3.3184,3.2971,,-1.52%
12/30/2022,3.3622,3.3269,3.375,3.2619,2.42K,1.49%
12/29/2022,3.313,3.3568,3.3568,3.2433,15.08K,-1.92%
